scenario_id,category,label,model_id,input_length,auto_adapt,success,error,mae,rmse,latency_ms,ablation
X1,X,"X1-基准(无漂移,不可见)",Auto,96,True,True,,1.9911963249206543,2.361154048936298,168.38745899804053,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.5,96,True,True,,1.9911963249206543,2.361154048936298,165.76891599834198,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.0,96,True,True,,1.9420730978965761,2.3367656207874243,126.41304100179696,False
X1,X,"X1-基准(无漂移,不可见)",Chronos-2,96,True,True,,1.61265572757721,1.9465246312328972,107.12883299856912,False
X1,X,"X1-基准(无漂移,不可见)",AutoARIMA,96,True,True,,2.5435286736488343,3.2287353197364372,859.4145409988414,False
X1,X,"X1-基准(无漂移,不可见)",Holt-Winters,96,True,True,,17.51636586265564,20.553187411903632,101.50629200143158,False
X1,X,"X1-基准(无漂移,不可见)",Auto,256,True,True,,1.6145880546569829,1.9659799091391212,166.87758399712038,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.5,256,True,True,,1.6145880546569829,1.9659799091391212,298.6021670003538,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.0,256,True,True,,1.6947880622863771,2.072989257419692,138.1092500014347,False
X1,X,"X1-基准(无漂移,不可见)",Chronos-2,256,True,True,,1.5620106267929084,1.9455384123517871,112.92295800012653,False
X1,X,"X1-基准(无漂移,不可见)",AutoARIMA,256,True,True,,3.70048883266449,4.241488911817421,1134.6321250020992,False
X1,X,"X1-基准(无漂移,不可见)",Holt-Winters,256,True,True,,17.831534536933898,20.827569141050027,101.45812500195461,False
X1,X,"X1-基准(无漂移,不可见)",Auto,512,True,True,,1.5639345344543463,1.9370192663485768,210.02408300046227,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.5,512,True,True,,1.5639345344543463,1.9370192663485768,191.39699999868753,False
X1,X,"X1-基准(无漂移,不可见)",Timer-3.0,512,True,True,,1.5078230037689215,1.932724292539316,161.40412499953527,False
X1,X,"X1-基准(无漂移,不可见)",Chronos-2,512,True,True,,1.521821369171143,1.9104863439806907,132.72104099814896,False
X1,X,"X1-基准(无漂移,不可见)",AutoARIMA,512,True,True,,2.5808170780181885,3.2302320156339923,2729.8051249999844,False
X1,X,"X1-基准(无漂移,不可见)",Holt-Winters,512,True,True,,17.89278176651001,20.880763022069246,118.00283399861655,False
X2,X,X2-均值平移+15(不可见),Auto,96,True,True,,16.047108141326902,16.18605241195689,168.72170900023775,False
X2,X,X2-均值平移+15(不可见),Timer-3.5,96,True,True,,16.047108141326902,16.18605241195689,171.49104100099066,False
X2,X,X2-均值平移+15(不可见),Timer-3.0,96,True,True,,15.67446836605072,15.814891754692349,139.96587499786983,False
X2,X,X2-均值平移+15(不可见),Chronos-2,96,True,True,,15.40362927093506,15.520883875219482,102.95708299963735,False
X2,X,X2-均值平移+15(不可见),AutoARIMA,96,True,True,,16.638762859249113,16.869724880459284,736.1075420012639,False
X2,X,X2-均值平移+15(不可见),Holt-Winters,96,True,True,,9.904464958572389,11.049005007850173,97.33583300112514,False
X2,X,X2-均值平移+15(不可见),Auto,256,True,True,,15.04354569091797,15.17140229941444,178.01195900028688,False
X2,X,X2-均值平移+15(不可见),Timer-3.5,256,True,True,,15.04354569091797,15.17140229941444,167.46983300254215,False
X2,X,X2-均值平移+15(不可见),Timer-3.0,256,True,True,,15.654319433116912,15.790234200676197,126.70416699984344,False
X2,X,X2-均值平移+15(不可见),Chronos-2,256,True,True,,15.220039931678773,15.342304835463917,127.42179199995007,False
X2,X,X2-均值平移+15(不可见),AutoARIMA,256,True,True,,18.682443586730955,18.800625941467985,1160.5932089987618,False
X2,X,X2-均值平移+15(不可见),Holt-Winters,256,True,True,,9.934692262077332,11.128414092637026,109.16429099961533,False
X2,X,X2-均值平移+15(不可见),Auto,512,True,True,,14.857512918853761,14.982570914359737,210.34166699973866,False
X2,X,X2-均值平移+15(不可见),Timer-3.5,512,True,True,,14.857512918853761,14.982570914359737,194.3024169995624,False
X2,X,X2-均值平移+15(不可见),Timer-3.0,512,True,True,,14.535424617671968,14.665002502095717,160.50820799864596,False
X2,X,X2-均值平移+15(不可见),Chronos-2,512,True,True,,14.879160610580445,15.000825856863681,137.33112499903655,False
X2,X,X2-均值平移+15(不可见),AutoARIMA,512,True,True,,15.394586054229737,15.724884117274726,2692.60095899881,False
X2,X,X2-均值平移+15(不可见),Holt-Winters,512,True,True,,9.941597460174561,11.14552876217697,120.47262499982025,False
X3,X,X3-方差扩张3x(不可见),Auto,96,True,True,,9.06967090988159,10.975065073153607,161.54316699976334,False
X3,X,X3-方差扩张3x(不可见),Timer-3.5,96,True,True,,9.06967090988159,10.975065073153607,220.21466699879966,False
X3,X,X3-方差扩张3x(不可见),Timer-3.0,96,True,True,,8.852015921783448,10.69247443686023,141.49724999879254,False
X3,X,X3-方差扩张3x(不可见),Chronos-2,96,True,True,,8.47675191783905,10.294548709774764,113.15979099890683,False
X3,X,X3-方差扩张3x(不可见),AutoARIMA,96,True,True,,9.683658500003816,11.38266628114095,749.6798329993908,False
X3,X,X3-方差扩张3x(不可见),Holt-Winters,96,True,True,,12.373334127807617,15.45792241326523,93.56599999955506,False
X3,X,X3-方差扩张3x(不可见),Auto,256,True,True,,8.159910858154296,9.973415349967533,169.47991699998965,False
X3,X,X3-方差扩张3x(不可见),Timer-3.5,256,True,True,,8.159910858154296,9.973415349967533,163.31891699883272,False
X3,X,X3-方差扩张3x(不可见),Timer-3.0,256,True,True,,8.783361729621888,10.630460076310605,140.30887500121025,False
X3,X,X3-方差扩张3x(不可见),Chronos-2,256,True,True,,8.267018016815186,10.043487120163144,112.5604580010986,False
X3,X,X3-方差扩张3x(不可见),AutoARIMA,256,True,True,,11.356925935554505,13.013960467048552,1121.9398339999316,False
X3,X,X3-方差扩张3x(不可见),Holt-Winters,256,True,True,,12.559355344963073,15.657565312455104,98.59729199888534,False
X3,X,X3-方差扩张3x(不可见),Auto,512,True,True,,7.96953314590454,9.755809153874758,194.21120900005917,False
X3,X,X3-方差扩张3x(不可见),Timer-3.5,512,True,True,,7.96953314590454,9.755809153874758,192.75150000248686,False
X3,X,X3-方差扩张3x(不可见),Timer-3.0,512,True,True,,8.01798003578186,9.760981823499899,154.94045800005551,False
X3,X,X3-方差扩张3x(不可见),Chronos-2,512,True,True,,7.996169027328491,9.786095841569795,130.2586669989978,False
X3,X,X3-方差扩张3x(不可见),AutoARIMA,512,True,True,,8.42153070602417,10.259409118069188,2892.2647500003222,False
X3,X,X3-方差扩张3x(不可见),Holt-Winters,512,True,True,,12.59786149520874,15.698367766841212,127.51824999941164,False
X4,X,X4-相位偏移90°(不可见),Auto,96,True,True,,16.1460594039917,19.107664685741153,170.04245800126228,False
X4,X,X4-相位偏移90°(不可见),Timer-3.5,96,True,True,,16.1460594039917,19.107664685741153,173.7643329979619,False
X4,X,X4-相位偏移90°(不可见),Timer-3.0,96,True,True,,16.02432883796692,19.093194442712175,135.8252089994494,False
X4,X,X4-相位偏移90°(不可见),Chronos-2,96,True,True,,15.899862776374817,18.701996644041326,111.04066699772375,False
X4,X,X4-相位偏移90°(不可见),AutoARIMA,96,True,True,,15.057435273075102,18.050884532042595,746.9401670023217,False
X4,X,X4-相位偏移90°(不可见),Holt-Winters,96,True,True,,11.940691522216797,14.52023407223201,104.60558399790898,False
X4,X,X4-相位偏移90°(不可见),Auto,256,True,True,,15.673640142059327,18.393892819501122,172.97408299782546,False
X4,X,X4-相位偏移90°(不可见),Timer-3.5,256,True,True,,15.673640142059327,18.393892819501122,169.2097909981385,False
X4,X,X4-相位偏移90°(不可见),Timer-3.0,256,True,True,,15.794900010204316,18.666301304891547,142.92933300021105,False
X4,X,X4-相位偏移90°(不可见),Chronos-2,256,True,True,,15.67618931350708,18.577755606342794,111.84620799758704,False
X4,X,X4-相位偏移90°(不可见),AutoARIMA,256,True,True,,17.287034757995606,20.877382322342235,1102.3407079992467,False
X4,X,X4-相位偏移90°(不可见),Holt-Winters,256,True,True,,12.071872452354432,14.684459289935873,105.15337499964517,False
X4,X,X4-相位偏移90°(不可见),Auto,512,True,True,,15.664277921295167,18.39216133565712,191.31345899950247,False
X4,X,X4-相位偏移90°(不可见),Timer-3.5,512,True,True,,15.664277921295167,18.39216133565712,190.34241699773702,False
X4,X,X4-相位偏移90°(不可见),Timer-3.0,512,True,True,,15.387769709205628,18.048450521879936,159.31491700030165,False
X4,X,X4-相位偏移90°(不可见),Chronos-2,512,True,True,,15.520933948898318,18.305324694346204,127.14695799877518,False
X4,X,X4-相位偏移90°(不可见),AutoARIMA,512,True,True,,15.031554626083373,17.85599182029517,2844.727125000645,False
X4,X,X4-相位偏移90°(不可见),Holt-Winters,512,True,True,,12.103115419006349,14.72021604082385,129.1934590008168,False
X5,X,X5-复合漂移(不可见),Auto,96,True,True,,24.5454989982605,29.04601835472943,162.6358329995128,False
X5,X,X5-复合漂移(不可见),Timer-3.5,96,True,True,,24.5454989982605,29.04601835472943,165.2953749980952,False
X5,X,X5-复合漂移(不可见),Timer-3.0,96,True,True,,23.97774323949814,28.60296083023751,167.00895800022408,False
X5,X,X5-复合漂移(不可见),Chronos-2,96,True,True,,23.940569789505005,28.460533290623943,125.33779099976528,False
X5,X,X5-复合漂移(不可见),AutoARIMA,96,True,True,,24.698460342311858,28.668749010445474,894.1712499981804,False
X5,X,X5-复合漂移(不可见),Holt-Winters,96,True,True,,10.37506530303955,12.608927434263833,94.73595800227486,False
X5,X,X5-复合漂移(不可见),Auto,256,True,True,,23.586316735839844,28.074595073857004,165.5233749988838,False
X5,X,X5-复合漂移(不可见),Timer-3.5,256,True,True,,23.586316735839844,28.074595073857004,168.8420419995964,False
X5,X,X5-复合漂移(不可见),Timer-3.0,256,True,True,,23.76853081712723,28.24433488119628,140.9311669995077,False
X5,X,X5-复合漂移(不可见),Chronos-2,256,True,True,,23.710228235816956,28.268236912727318,114.87216699970304,False
X5,X,X5-复合漂移(不可见),AutoARIMA,256,True,True,,26.799937192916868,31.437468857940566,1136.0938750003697,False
X5,X,X5-复合漂移(不可见),Holt-Winters,256,True,True,,10.246975279045104,12.44238302937191,104.78454199983389,False
X5,X,X5-复合漂移(不可见),Auto,512,True,True,,23.446182401275635,27.97306795078512,187.1684580000874,False
X5,X,X5-复合漂移(不可见),Timer-3.5,512,True,True,,23.446182401275635,27.97306795078512,190.77179200030514,False
X5,X,X5-复合漂移(不可见),Timer-3.0,512,True,True,,23.23098287115097,27.598173003724288,173.39350000111153,False
X5,X,X5-复合漂移(不可见),Chronos-2,512,True,True,,23.423435123062134,27.924848020951412,122.59233399890945,False
X5,X,X5-复合漂移(不可见),AutoARIMA,512,True,True,,23.635862561798092,27.8552658878659,3026.905999999144,False
X5,X,X5-复合漂移(不可见),Holt-Winters,512,True,True,,10.22637579460144,12.415090214494533,118.77862500114134,False
Y1,Y,Y1-均值平移+15(部分可见),Auto,96,True,True,,5.622586207771301,6.810174215418761,161.10487500191084,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.5,96,True,True,,5.622586207771301,6.810174215418761,164.3893330001447,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.0,96,True,True,,4.79147977848053,5.816238139256986,141.50645799963968,False
Y1,Y,Y1-均值平移+15(部分可见),Chronos-2,96,True,True,,2.0257430124282836,2.57173317732656,106.84866700103157,False
Y1,Y,Y1-均值平移+15(部分可见),AutoARIMA,96,True,True,,5.974912757682801,7.274612306711723,964.4349579975824,False
Y1,Y,Y1-均值平移+15(部分可见),Holt-Winters,96,True,True,,17.427885151672363,20.478305399147203,88.32895900195581,False
Y1,Y,Y1-均值平移+15(部分可见),Auto,256,True,True,,5.627337690353393,7.167151163081702,172.79341600078624,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.5,256,True,True,,5.627337690353393,7.167151163081702,178.835667000385,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.0,256,True,True,,7.895136915397644,9.65939347324227,139.38708400019095,False
Y1,Y,Y1-均值平移+15(部分可见),Chronos-2,256,True,True,,1.705894811439514,2.2100012223280965,114.16954200103646,False
Y1,Y,Y1-均值平移+15(部分可见),AutoARIMA,256,True,True,,2.085413425445558,2.6992294820438483,2663.4064169993508,False
Y1,Y,Y1-均值平移+15(部分可见),Holt-Winters,256,True,True,,17.74810269699097,20.75860082530733,120.12304199743085,False
Y1,Y,Y1-均值平移+15(部分可见),Auto,512,True,True,,4.187939445877076,5.244925269236479,202.91187499969965,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.5,512,True,True,,4.187939445877076,5.244925269236479,198.9569159995881,False
Y1,Y,Y1-均值平移+15(部分可见),Timer-3.0,512,True,True,,2.264645729255676,2.821112736363229,161.06945800129324,False
Y1,Y,Y1-均值平移+15(部分可见),Chronos-2,512,True,True,,1.9279969097137455,2.4600828833454806,125.45700000191573,False
Y1,Y,Y1-均值平移+15(部分可见),AutoARIMA,512,True,True,,2.0205488606452944,2.433166600575427,2725.4114169991226,False
Y1,Y,Y1-均值平移+15(部分可见),Holt-Winters,512,True,True,,17.80054477081299,20.804176367286427,122.09891699967557,False
Y2,Y,Y2-方差扩张3x(部分可见),Auto,96,True,True,,10.729973645019532,12.477676398094356,167.36029199819313,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.5,96,True,True,,10.729973645019532,12.477676398094356,155.91029200004414,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.0,96,True,True,,10.760722906398774,12.393643323636367,134.16475000121864,False
Y2,Y,Y2-方差扩张3x(部分可见),Chronos-2,96,True,True,,11.48728236656189,13.146601571009981,106.70141699665692,False
Y2,Y,Y2-方差扩张3x(部分可见),AutoARIMA,96,True,True,,9.967135275363923,12.32812111592492,885.87487499899,False
Y2,Y,Y2-方差扩张3x(部分可见),Holt-Winters,96,True,True,,12.479046956634523,15.588557398164525,124.05966599908425,False
Y2,Y,Y2-方差扩张3x(部分可见),Auto,256,True,True,,11.467024655151368,13.119138994219197,170.63266699915403,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.5,256,True,True,,11.467024655151368,13.119138994219197,174.0899159995024,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.0,256,True,True,,11.635878772544862,13.298748111567816,131.14241699804552,False
Y2,Y,Y2-方差扩张3x(部分可见),Chronos-2,256,True,True,,12.525281460094453,14.142499396562718,127.87029199898825,False
Y2,Y,Y2-方差扩张3x(部分可见),AutoARIMA,256,True,True,,11.216236697769165,13.005393077374148,1141.2894169989158,False
Y2,Y,Y2-方差扩张3x(部分可见),Holt-Winters,256,True,True,,12.611846701240541,15.722186988799299,117.71191700245254,False
Y2,Y,Y2-方差扩张3x(部分可见),Auto,512,True,True,,11.20780524711609,12.888216793533248,247.19833400013158,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.5,512,True,True,,11.20780524711609,12.888216793533248,195.32420900213765,False
Y2,Y,Y2-方差扩张3x(部分可见),Timer-3.0,512,True,True,,11.16250529985428,12.781525714552526,178.85104200104252,False
Y2,Y,Y2-方差扩张3x(部分可见),Chronos-2,512,True,True,,13.539900095272065,15.183235498089177,126.08175000059418,False
Y2,Y,Y2-方差扩张3x(部分可见),AutoARIMA,512,True,True,,11.30415442686081,12.844059927601279,2781.856167002843,False
Y2,Y,Y2-方差扩张3x(部分可见),Holt-Winters,512,True,True,,12.614720241165163,15.72018883577571,119.6663750015432,False
Y3,Y,Y3-相位偏移90°(部分可见),Auto,96,True,True,,8.720873078536986,11.576412669180987,166.48720800003503,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.5,96,True,True,,8.720873078536986,11.576412669180987,167.21258399775252,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.0,96,True,True,,11.090458720493316,15.00519002668764,142.81670800119173,False
Y3,Y,Y3-相位偏移90°(部分可见),Chronos-2,96,True,True,,9.155728337669373,12.223509854894088,111.45049999686307,False
Y3,Y,Y3-相位偏移90°(部分可见),AutoARIMA,96,True,True,,9.425221872043611,11.383099163322886,787.6398749976943,False
Y3,Y,Y3-相位偏移90°(部分可见),Holt-Winters,96,True,True,,25.664204594802857,28.818045838662883,98.99037499781116,False
Y3,Y,Y3-相位偏移90°(部分可见),Auto,256,True,True,,8.737092591857909,10.085675113830762,165.8766660002584,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.5,256,True,True,,8.737092591857909,10.085675113830762,177.26487499749055,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.0,256,True,True,,8.72800508890152,9.940255019014598,137.96604199887952,False
Y3,Y,Y3-相位偏移90°(部分可见),Chronos-2,256,True,True,,8.26316129617691,9.301399067043173,105.57575000348152,False
Y3,Y,Y3-相位偏移90°(部分可见),AutoARIMA,256,True,True,,11.551174115848541,12.883751233842437,1178.8608749993728,False
Y3,Y,Y3-相位偏移90°(部分可见),Holt-Winters,256,True,True,,28.59238570661545,31.72589260478079,110.1487919986539,False
Y3,Y,Y3-相位偏移90°(部分可见),Auto,512,True,True,,8.424135543441771,9.633096344725178,210.97908400042797,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.5,512,True,True,,8.424135543441771,9.633096344725178,193.19266700040316,False
Y3,Y,Y3-相位偏移90°(部分可见),Timer-3.0,512,True,True,,8.309362150764464,9.539485742273094,182.12783399940236,False
Y3,Y,Y3-相位偏移90°(部分可见),Chronos-2,512,True,True,,8.042902254199982,9.157617205039562,140.19000000189408,False
Y3,Y,Y3-相位偏移90°(部分可见),AutoARIMA,512,True,True,,7.721677136135101,8.793302371457232,5897.24912499878,False
Y3,Y,Y3-相位偏移90°(部分可见),Holt-Winters,512,True,True,,28.50888377161026,31.646773598008906,128.86712499675923,False
Y4,Y,Y4-复合漂移(部分可见),Auto,96,True,True,,15.745405349731445,18.178574165858752,157.88795899788965,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,96,True,True,,15.745405349731445,18.178574165858752,164.11395900286152,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,96,True,True,,18.517327773952484,21.816768469716926,122.16754199835123,False
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,96,True,True,,12.56584615650177,14.444681147030659,107.72654200263787,False
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,96,True,True,,15.104249514770508,18.431018840719517,304.7056249997695,False
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,96,True,True,,22.388912983322143,25.49767837792211,105.04170800049906,False
